gene_name	cisbp_motif_id	var_explained	beta	padj	activ_or_repr
DMRTA1	M08577_1	9.337443499513043e-07	-0.005957109459004633	1.0	repressing
DMRTA2	M00897_1	5.438927813683492e-07	-0.004997176339749073	1.0	repressing
DMRTA2	M08579_1	9.518219488136026e-07	-0.006487647615988373	1.0	repressing
DMRTC2	M09488_1	6.908726857268732e-07	-0.005289155594875175	1.0	repressing
DNMT1	M00879_1	3.378880538662532e-05	-0.03848171985182286	1.0	repressing
DPF1	M08582_1	1.1846305769669385e-06	-0.009436919928710997	1.0	repressing
DPF3	M08582_1	1.1846305769669385e-06	-0.009436919928710997	1.0	repressing
DPRX	M05622_1	7.720783080644722e-07	-0.008464038573593064	1.0	repressing
DRGX	M08586_1	6.341965127498739e-07	-0.008322195207225113	1.0	repressing
DRGX	M05623_1	5.247710446187881e-07	-0.0048923929929150884	1.0	repressing
DUX1	M03893_1	0.0	0.0	1.0	
DUX1	M03892_1	0.0	0.0	1.0	
DUX3	M03894_1	0.0	0.0	1.0	
DUX4	M03009_1	1.0818510185472974e-06	-0.007122232155343868	1.0	repressing
DUX4	M03895_1	0.0	0.0	1.0	
DUXA	M05624_1	8.755727849418804e-07	-0.0070924099729019864	1.0	repressing
E2F1	M05625_1	2.7938491905521445e-06	-0.020116556350860203	1.0	repressing
E2F2	M09494_1	3.707429804378215e-06	-0.019365927801147962	1.0	repressing
E2F3	M05632_1	7.766580288892655e-07	-0.00779989179549333	1.0	repressing
E2F4	M05636_1	1.0139691639654558e-06	-0.012076619907074006	1.0	repressing
E2F5	M06494_1	1.6222868118864753e-06	-0.01684849731079228	1.0	repressing
E2F6	M03012_1	1.3964315680015105e-05	-0.01684614406808663	1.0	repressing
E2F7	M08594_1	1.616242214175223e-06	-0.008317823280050703	1.0	repressing
E2F7	M05637_1	1.4565142754108251e-06	-0.008976837754251467	1.0	repressing
E2F8	M05638_1	2.288152854967862e-06	-0.010548464634136672	1.0	repressing
E2F8	M08596_1	5.293286472363157e-06	-0.019346171196452502	1.0	repressing
E4F1	M03925_1	0.0	0.0	1.0	
EBF1	M05639_1	3.986906879416274e-06	-0.013466026740381994	1.0	repressing
EBF2	M03839_1	0.0	0.0	1.0	
EBF3	M03932_1	0.0	0.0	1.0	
EBF4	M03931_1	0.0	0.0	1.0	
EGR1	M05640_1	1.6414440330070335e-05	-0.02776255265474574	1.0	repressing
EGR2	M05643_1	1.526143062824392e-05	-0.024289570189139416	1.0	repressing
EGR3	M05644_1	1.820702716781586e-05	-0.027202421818697652	1.0	repressing
EGR4	M08604_1	1.8893762854244045e-05	-0.025582132654541272	1.0	repressing
EHF	M05647_1	2.2996330107938334e-06	-0.012726257018317564	1.0	repressing
EHF	M06390_1	3.000778593720277e-06	-0.013832514287631159	1.0	repressing
ELF1	M09501_1	2.2151984322427154e-06	-0.012715581507090958	1.0	repressing
ELF2	M09509_1	2.3571742023831277e-06	-0.013628523814567436	1.0	repressing
ELF3	M05650_1	2.338234463938882e-06	-0.012203270080149185	1.0	repressing
ELF4	M09516_1	3.2254038720980205e-06	-0.015152775562048058	1.0	repressing
ELF5	M05654_1	2.6285537535475356e-06	-0.011558174276792081	1.0	repressing
ELK1	M05658_1	2.1909134536590713e-06	-0.01819646581001459	1.0	repressing
ELK3	M09521_1	2.192948927337568e-06	-0.018643680161480606	1.0	repressing
ELK4	M05660_1	1.9037130890575682e-06	-0.015573336452813242	1.0	repressing
EMX1	M05661_1	9.094146267152325e-07	-0.009952897621850827	1.0	repressing
EMX2	M05663_1	6.303126593998343e-07	-0.008480953483413586	1.0	repressing
EN1	M05665_1	9.64176008033668e-07	-0.009879475050343645	1.0	repressing
EN2	M05669_1	9.582368165617083e-07	-0.008052806148697975	1.0	repressing
EOMES	M05671_1	0.002940267247304007	0.28303262993850126	5.948905035488818e-06	activating
EPAS1	M04177_1	0.0	0.0	1.0	
ERF	M05673_1	1.8776136199161186e-06	-0.014555288477715395	1.0	repressing
ERG	M05674_1	1.682414965120671e-06	-0.013852166253661726	1.0	repressing
ESR1	M08629_1	6.261111984984247e-06	-0.015896852673872836	1.0	repressing
ESR2	M02002_1	0.0	0.0	1.0	
ESRRA	M08633_1	5.951983210183975e-06	-0.01420103611391649	1.0	repressing
ESRRB	M05685_1	3.892681238126805e-06	-0.01246222942989469	1.0	repressing
ESRRB	M08637_1	5.7544075529047944e-06	-0.01481457285666119	1.0	repressing
ESRRG	M08639_1	6.259048404566592e-06	-0.014625462426785333	1.0	repressing
ESX1	M05689_1	1.094584882066485e-06	-0.009556143526897223	1.0	repressing
ETS1	M05692_1	1.6028990802441356e-06	-0.01456774571754737	1.0	repressing
ETS2	M08647_1	1.4179940979186512e-06	-0.014502388503172507	1.0	repressing
ETV1	M05695_1	1.641955789666305e-06	-0.0167989381993867	1.0	repressing
ETV2	M08653_1	2.0393402172524944e-06	-0.01581986538297193	1.0	repressing
ETV2	M05696_1	2.4751218907770323e-06	-0.012889682551993704	1.0	repressing
ETV3	M09537_1	1.0484108184938279e-06	-0.01817749377711817	1.0	repressing
ETV3L	M00977_1	2.6335701142077284e-06	-0.01652540085922623	1.0	repressing
ETV4	M08655_1	2.157925885093448e-06	-0.017401220911871424	1.0	repressing
ETV5	M08656_1	2.9419024145660444e-06	-0.020506121412533274	1.0	repressing
ETV5	M05699_1	2.162409578843061e-06	-0.017672214004935644	1.0	repressing
ETV6	M05701_1	3.4922078258059486e-06	-0.014477262881960752	1.0	repressing
ETV6	M05700_1	7.485555235220431e-06	-0.016116504528953194	1.0	repressing
ETV7	M09549_1	1.7500675432158275e-06	-0.012618541517642797	1.0	repressing
ETV7	M09550_1	7.603041788373233e-07	-0.011516940590014312	1.0	repressing
EVX1	M08657_1	2.3754493061467485e-07	-0.006226250386755135	1.0	repressing
EVX1	M05702_1	5.83415619592742e-07	-0.00806447021663758	1.0	repressing
EVX2	M08658_1	2.3754493061467485e-07	-0.006226250386755135	1.0	repressing
EVX2	M05703_1	7.284904924853564e-07	-0.00886241607239744	1.0	repressing
FERD3L	M09557_1	6.026201575748402e-06	-0.017122717788787226	1.0	repressing
FERD3L	M09558_1	4.260956143808947e-06	-0.01669705864359459	1.0	repressing
FEV	M05704_1	1.585486084754173e-06	-0.014488575995974038	1.0	repressing
FEV	M08659_1	2.0315402614601297e-06	-0.016092066645610588	1.0	repressing
FEZF1	M10319_1	5.400390167831226e-06	-0.008542866270390153	1.0	repressing
FEZF2	M07239_1	1.7317842569974928e-06	-0.008242889830156514	1.0	repressing
FIGLA	M08661_1	0.0014755846635980951	0.14983491227856138	0.0033406054780821632	activating
FIGLA	M05705_1	0.0019392765695505076	0.19210362971353218	0.0004897868701992233	activating
FLI1	M05706_1	1.8769704475118942e-06	-0.015772378218000656	1.0	repressing
FOS	M08663_1	8.228599382986701e-07	-0.01139027255999276	1.0	repressing
FOSB	M08665_1	6.938171369652579e-07	-0.010812948978376225	1.0	repressing
FOSL1	M10098_1	1.1924754622638645e-06	-0.0102281138060424	1.0	repressing
FOSL2	M10257_1	0.0	0.0	1.0	
FOSL2	M10258_1	6.012431895685566e-07	-0.009660475691100595	1.0	repressing
FOXA1	M09569_1	1.3675375607480333e-06	-0.006176174032644888	1.0	repressing
FOXA2	M08669_1	6.000062610089785e-07	-0.005251629929042823	1.0	repressing
FOXA3	M09574_1	5.726093685876066e-07	-0.003901855778583526	1.0	repressing
FOXA3	M09573_1	1.4753812934698018e-06	-0.006628032250662342	1.0	repressing
FOXB1	M05711_1	4.0362219289047374e-07	-0.0033304403387245524	1.0	repressing
FOXB2	M01044_1	1.3701972646495975e-06	-0.005810422603290399	1.0	repressing
FOXB2	M08671_1	4.628255204641718e-07	-0.0037602364742261372	1.0	repressing
FOXC1	M05716_1	1.7443937443406554e-06	-0.005644011322522816	1.0	repressing
FOXC2	M05719_1	3.0124627825589556e-06	-0.006603040864281839	1.0	repressing
FOXD1	M09582_1	2.219359107824559e-06	-0.0067577792919901085	1.0	repressing
FOXD1	M09581_1	1.3478242408826446e-06	-0.005664573708355711	1.0	repressing
FOXD2	M05721_1	1.1640868484708022e-06	-0.00735455945888398	1.0	repressing
FOXD3	M05723_1	1.1640868484708022e-06	-0.00735455945888398	1.0	repressing
FOXD4	M04027_1	0.0	0.0	1.0	
FOXD4	M04026_1	0.0	0.0	1.0	
FOXD4L1	M04026_1	0.0	0.0	1.0	
FOXD4L3	M04027_1	0.0	0.0	1.0	
FOXD4L4	M04027_1	0.0	0.0	1.0	
FOXD4L5	M04027_1	0.0	0.0	1.0	
FOXD4L6	M04027_1	0.0	0.0	1.0	
FOXE1	M08675_1	3.0689933346872422e-06	-0.008400225040344076	1.0	repressing
FOXE3	M01048_1	0.0	0.0	1.0	
FOXE3	M08675_1	3.0689933346872422e-06	-0.008400225040344076	1.0	repressing
FOXF1	M04169_1	2.440928195346359e-06	-0.007115331645640169	1.0	repressing
FOXF2	M04073_1	8.715631742983732e-07	-0.00587197471751461	1.0	repressing
FOXG1	M01022_1	1.215763968165362e-06	-0.006654916755982454	1.0	repressing
FOXH1	M03020_1	1.530797958060326e-06	-0.00774017948941981	1.0	repressing
FOXI1	M08679_1	1.3738559105913595e-06	-0.006814384317034889	1.0	repressing
FOXI2	M08681_1	1.2971652451065907e-06	-0.00642439834482841	1.0	repressing
FOXI2	M08679_1	1.3738559105913595e-06	-0.006814384317034889	1.0	repressing
FOXI3	M08679_1	1.3738559105913595e-06	-0.006814384317034889	1.0	repressing
FOXI3	M08681_1	1.2971652451065907e-06	-0.00642439834482841	1.0	repressing
FOXJ1	M01034_1	4.123823658885861e-06	-0.0076308848512176225	1.0	repressing
FOXJ2	M05730_1	3.1884856800390438e-06	-0.006673711003374325	1.0	repressing
FOXJ3	M06395_1	1.0400290396672673e-06	-0.005500332010382957	1.0	repressing
FOXK1	M01020_1	1.377201867769351e-06	-0.007209398821690874	1.0	repressing
FOXK2	M01043_1	1.4098119002214915e-06	-0.006395846483201206	1.0	repressing
FOXL1	M05736_1	2.5905313948415554e-06	-0.006488192701725084	1.0	repressing
FOXL1	M05735_1	1.1640868484708022e-06	-0.00735455945888398	1.0	repressing
FOXL2	M08689_1	1.1403431114942464e-06	-0.007871902910827797	1.0	repressing
FOXM1	M01025_1	1.4526432149386537e-06	-0.010332239492200346	1.0	repressing
FOXN1	M04927_1	0.0	0.0	1.0	
FOXN2	M01021_1	3.6315092167837904e-06	-0.02239256051612473	1.0	repressing
FOXN2	M01021_1	3.6315092167837904e-06	-0.02239256051612473	1.0	repressing
FOXN2	M08691_1	3.6226907643710504e-06	-0.02830451505718949	1.0	repressing
FOXN3	M01011_1	0.0	0.0	1.0	
FOXN4	M04047_1	0.0	0.0	1.0	
FOXN4	M04048_1	0.0	0.0	1.0	
FOXO1	M05738_1	6.173771415207696e-07	-0.005005539145639639	1.0	repressing
FOXO3	M05741_1	1.3994014455009918e-06	-0.0077197690601974915	1.0	repressing
FOXO4	M05744_1	1.1640868484708022e-06	-0.00735455945888398	1.0	repressing
FOXO6	M05746_1	5.181979583213092e-07	-0.005075432272939935	1.0	repressing
FOXP1	M08697_1	5.950425489009703e-07	-0.0056700978861229665	1.0	repressing
FOXP1	M01019_1	8.769152646248557e-07	-0.006037063745357805	1.0	repressing
FOXP2	M10259_1	1.5847162926352354e-06	-0.00657796705653815	1.0	repressing
FOXP3	M08699_1	3.443500807831512e-07	-0.004018827365379777	1.0	repressing
FOXP3	M05749_1	1.1640868484708022e-06	-0.00735455945888398	1.0	repressing
FOXP4	M01031_1	1.3994014455009918e-06	-0.0077197690601974915	1.0	repressing
FOXQ1	M08701_1	1.1678486157018497e-06	-0.006496176646751701	1.0	repressing
FOXR1	M01023_1	3.527133733527421e-06	-0.00919236428141754	1.0	repressing
FOXR1	M01023_1	3.527133733527421e-06	-0.00919236428141754	1.0	repressing
FOXR2	M08703_1	1.7426100470396833e-06	-0.005441991079975181	1.0	repressing
FOXS1	M01039_1	1.3950279681429478e-06	-0.0059384532699901715	1.0	repressing
GABPA	M10260_1	2.6363733408585333e-06	-0.01611441968654083	1.0	repressing
